xname,yname
6.819,-5.723
6.106,-4.915
5.193,-4.000
4.217,-2.953
3.316,-2.111
2.665,-1.497
2.115,-1.041
1.739,-0.801
1.489,-0.660
1.276,-0.581
1.026,-0.529
0.763,-0.477
0.551,-0.452
0.250,-0.430
NaN,-0.420
-0.288,-0.404
-0.576,-0.383
-0.876,-0.355
-1.076,-0.331
-1.339,-0.119
-1.577,0.365
-1.852,0.703
-2.202,1.098
-2.553,1.546
-2.965,1.988
-3.516,2.652
-4.167,3.423
-4.780,4.079
-5.318,4.757
-5.856,5.376
-6.269,5.863
-6.469,6.072
-6.469,6.084
-6.469,6.099
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
