xname,yname
7.252,-7.344
6.638,-6.719
6.025,-6.092
5.461,-5.504
4.935,-4.962
4.471,-4.465
4.058,-4.016
3.732,-3.657
3.407,-3.298
3.131,-2.963
2.818,-2.603
2.518,-2.271
2.305,-2.008
2.117,-1.766
1.929,-1.540
1.779,-1.344
1.616,-1.149
1.478,-0.995
1.340,-0.840
1.215,-0.705
1.090,-0.581
0.977,-0.485
0.902,-0.421
0.839,-0.372
0.764,-0.325
0.676,-0.279
0.589,-0.230
0.488,-0.186
0.338,-0.134
0.213,-0.096
0.113,-0.069
-0.025,-0.035
-0.188,0.002
-0.351,0.048
-0.501,0.099
-0.626,0.143
-0.751,0.187
-0.864,0.229
-0.977,0.268
-1.052,0.287
-1.152,0.324
-1.278,0.389
-1.415,0.475
-1.490,0.543
-1.628,0.673
-1.804,0.874
-1.954,1.080
-2.104,1.293
-2.242,1.510
-2.405,1.748
-2.593,2.021
-2.768,2.277
-2.906,2.482
-3.081,2.712
-3.269,2.962
-3.469,3.203
-3.695,3.469
-3.920,3.744
-4.133,4.033
-4.384,4.348
-4.697,4.702
-4.985,5.024
-5.298,5.372
-5.649,5.744
-5.912,6.048
-6.225,6.383
-6.551,6.739
-6.951,7.138
