xname,yname
19.238,-14.754
18.011,-14.752
16.232,-14.750
14.003,-14.743
11.698,-14.721
9.544,-14.671
7.615,-14.620
5.937,-14.546
4.534,-14.474
3.707,-14.414
3.106,-14.360
2.555,-14.299
2.179,-14.246
1.854,-14.206
1.528,-14.157
1.127,-14.109
0.852,-14.081
0.551,-14.037
0.200,-14.024
-0.050,-14.026
-0.276,-14.023
-0.501,-14.028
-0.726,-14.039
-1.027,-14.050
-1.303,-14.061
-1.603,-14.085
-2.029,-14.115
-2.505,-14.163
-3.031,-14.212
-3.582,-14.255
-4.208,-14.299
-4.885,-14.352
-5.787,-14.395
-6.438,-14.433
-7.290,-14.476
-8.517,-14.515
-9.795,-14.556
-11.172,-14.597
-13.201,-14.635
-14.880,-14.663
-16.633,-14.695
-18.337,-14.713
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
