xname,yname
16.959,-169.714
15.431,-186.194
14.003,-205.246
12.650,-229.307
11.398,-258.555
10.245,-291.389
9.243,-328.046
8.367,-370.185
7.540,-419.026
6.914,-466.197
6.313,-520.151
5.736,-579.417
5.185,-642.321
4.760,-695.427
4.309,-749.687
3.833,-803.944
3.482,-842.694
3.131,-864.358
2.705,-848.333
2.204,-763.513
1.854,-645.274
1.678,-554.963
1.453,-509.626
1.152,-507.051
0.827,-553.548
0.451,-628.915
0.075,-696.336
-0.401,-753.784
-0.802,-779.303
-1.152,-765.922
-1.503,-719.051
-1.829,-660.161
-2.204,-594.162
-2.480,-548.852
-2.756,-503.381
-3.081,-450.532
-3.507,-393.605
-4.083,-340.907
-4.659,-297.684
-5.486,-254.762
-6.338,-219.876
-7.089,-196.224
-7.966,-174.763
-8.818,-155.643
-9.694,-137.653
-10.746,-121.327
-11.924,-105.406
-13.001,-92.448
-14.078,-83.307
-14.880,-75.981
-15.731,-67.938
-16.884,-59.145
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
