xname,yname
15.030,-2983.948
14.228,-2974.405
12.725,-2943.945
11.373,-2885.300
10.421,-2793.692
9.319,-2632.666
8.166,-2425.625
7.365,-2241.811
6.814,-2100.174
6.363,-1987.226
6.062,-1895.948
5.761,-1801.875
5.461,-1710.340
5.210,-1619.932
4.860,-1505.501
4.659,-1407.073
4.509,-1339.398
4.309,-1251.535
4.058,-1147.033
3.808,-1038.970
3.507,-903.027
3.256,-769.050
3.006,-605.866
2.705,-444.144
2.555,-328.650
2.355,-217.694
2.204,-128.653
2.054,-27.328
1.804,100.453
1.553,250.134
1.303,407.202
1.002,577.119
0.751,722.938
0.551,844.455
0.401,960.546
0.100,1102.001
-0.200,1245.006
-0.401,1372.079
-0.751,1521.208
-1.052,1688.483
-1.353,1876.107
-1.703,2101.059
-2.204,2422.577
-2.856,2742.641
-3.657,2892.116
-4.609,2945.276
-5.711,2968.950
-7.014,2981.366
-8.016,2987.726
-8.918,2992.099
-9.669,2994.974
-10.521,2997.586
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
